X,Y,Z
0.9042383209,-0.0004708594503,1.060312616
0.8578416778,-0.01506750241,0.7983374337
0.36459822,0.323833587,0.6211969012
-0.5721425622,0.7102914808,-0.5058747995
-0.8748372396,0.6024646667,-0.4294754134
0.358271405,0.5250082871,0.4273063456
1.09689604,0.0566208489,0.54335147
1.840110717,-0.2502617979,0.7549560788
1.368825029,-0.8282417731,0.3411461547
0.3724136973,-1.101104825,0.07218175438
-0.169335342,-0.07157063645,-0.3845275096
-0.1343517769,0.040258483,-0.8775084063
0.442008662,0.19705468,-0.4262218118
0.3122469274,0.3514965797,0.4334520376
-0.1561854913,0.5745662443,0.09736704097
-0.8805437786,0.7457236545,-0.2473942266
-1.177159751,0.7562002772,-0.3458458015
-1.011049844,0.5796279834,0.1425559523
-0.2874358883,-0.6905153839,0.7113337164
0.006698980564,-1.480852971,0.6130026453
-0.1986123682,-1.44742195,-0.001807556454
-0.8537478563,-0.5466678218,-0.8502745558
-1.057818653,0.3474942743,-1.340724874
-0.7277077776,0.654494636,-0.890402309
0.1069355786,0.2572069747,0.04494790381
0.6103515625,-0.9345382941,0.7745981923
0.7097197742,-1.18668353,0.3651264036
0.1364607152,-0.2743933447,-0.3744051934
-0.2736657616,0.500288166,-0.1211062824
-0.221934745,0.9180582133,-0.09423394311
0.1721886115,0.654494636,0.2056999244
0.528227023,-0.1110051154,0.2626982046
0.4467227595,-0.352909158,0.1597879905
0.11413078,0.250144083,-0.0780864388
-0.4215395548,0.7334813088,-0.5537147936
-0.4797214415,0.8045810858,-0.05772130275
0.6206481437,0.5232425642,0.9993377113
1.542502302,0.2500263681,1.256854254
1.704890554,0.138785823,0.9945175608
0.6852809007,-0.9882162714,0.2965597622
-0.187695511,-0.979976231,-0.7341089277
-0.1378253223,-0.4680342936,-0.8059291708
0.334204697,0.1253663287,-0.6046878856
0.8146704697,0.8882763531,0.3804303816
0.7566126381,0.3258347396,1.214436929
-0.2304945535,-0.3193604222,0.5675727264
-1.409142967,-0.1480852971,-0.2525758885
-2.116009472,0.3785709981,-0.9784905602
-0.9802841559,0.5666793485,-0.7733931546
-0.102717702,0.09758562108,0.2020848115
0.08919568566,-0.3021740523,0.3425921998
-0.3638538888,-0.8280063434,0.28848601
-1.234101086,-0.2189496444,-0.7606197557
-1.196760472,0.6615575277,-1.574381671
-0.6172986535,0.4315426862,-0.8121953665
0.1932779948,-0.2908734254,0.3234321014
0.9862388053,-1.075207555,1.093330647
0.845932379,-1.212463085,0.3311443423
-0.2401708587,-0.3418439609,-0.6138461716
-0.977803052,0.4781577718,-0.9859617936
-1.247002826,0.8587299226,-0.9829491995
-0.2005972513,0.7414859194,0.004338135489
0.6561279297,-0.04061162759,0.6690368954
0.5183026073,-0.3054700684,1.230343426
0.3819659473,0.4346032727,1.016931261
-0.07046335112,0.8574350591,0.01867808335
0.1700796732,1.016232409,-0.3072845971
0.8404739504,0.4147094609,0.2671568438
1.683180894,-0.4760389043,0.6231249614
2.053237543,-0.5908108953,0.5946860732
0.9601872142,-1.299101223,0.21100209
-0.3508280932,-0.7631454541,-0.3903116902
-0.568793072,-0.02142410499,-0.408748766
0.2814812389,0.8111731181,-0.7337474164
0.8500262005,1.43459103,0.1391818469
0.6783338097,0.3962282275,1.32301082
-0.3442531679,-0.2362537292,1.375911972
-1.107316676,-0.09370103062,0.6456591652
-1.511488504,0.4401358712,-0.6730135196
-0.8633001064,0.4956972863,-0.7089236411
-0.07517744855,-0.7691489121,-0.2513708508
0.3410277328,-1.860601118,-0.1212267862
-0.1017252604,-1.715223263,-0.3389770869
-0.9878515228,-0.4337792686,-1.109357647
-1.308286093,0.6689735641,-1.472676495
-0.6494289491,0.979152227,-1.033078765
0.1637528582,0.1716282696,-0.1849732771
0.523761036,-0.8044633709,0.683497347
0.1533322218,-0.5227717047,0.2607701444
-0.3209307911,0.2645052962,-0.5543173124
-0.5790896532,0.6516694793,-0.472495257
-0.6447148517,0.657908367,0.1578599303
0.4320842464,0.2592081274,0.8863051811
1.292158918,-0.4403713009,0.8411162697
1.124064128,-0.535367195,0.5639576135
0.1532081666,0.2032935677,-0.01458095539
-0.5809504811,0.4100008664,-0.09025731892
-0.1022214812,1.004696352,0.4922578742
0.7179074171,1.229767169,1.173345146
1.302331444,0.7958701859,1.295294955
1.418943328,-0.01718636994,0.5884198775
0.6351626016,-1.282267998,-0.09037782268
0.002357048717,-1.198925875,-0.6452976539
-0.1922855532,-0.6601449494,-0.4395977295
0.4078934832,0.0585042867,-0.1736459233
0.9785473831,0.3851630304,0.285955431
0.5833075299,0.1804568843,0.46586755
-0.6026601404,0.2148296242,0.09146235655
